id,Summary,Status,Version,Owner,Type,Priority,Milestone,Component,Severity,Resolution,Created,Modified,Focuses,Reporter,Keywords
10970,Remove 'siteurl' setting from options-general.php,new,,,enhancement,normal,Future Release,Permalinks,normal,,10/17/2009 06:52:10 PM,08/10/2017 01:06:35 PM,administration,scribu,has-patch
10975,comment form nonce,new,,,enhancement,normal,Future Release,Comments,normal,,10/19/2009 06:49:16 AM,02/21/2019 12:59:19 PM,,tellyworth,needs-patch
11023,Gallery Category Doesn't change with article,new,,,defect (bug),normal,,Gallery,normal,,10/24/2009 01:49:09 AM,06/04/2019 07:42:45 PM,,mrgtb,has-patch needs-testing dev-feedback
11159,"WP_SITEURL and bloginfo('siteurl') inconsistent, or WP_SITEURL should be defined",reopened,,,defect (bug),normal,Awaiting Review,General,minor,,11/17/2009 06:48:38 AM,03/05/2018 03:25:54 PM,,anmari,has-unit-tests
11381,display_page_row() generates boat loads of needless queries,new,,,defect (bug),normal,,"Posts, Post Types",normal,,12/10/2009 12:41:45 PM,06/04/2019 08:40:56 PM,"performance, administration",Denis-de-Bernardy,needs-patch
11895,Allow more specific image size editing,new,,,feature request,normal,,Media,normal,,01/14/2010 03:12:28 PM,06/04/2019 08:01:54 PM,ui,frankgroeneveld,has-patch dev-feedback has-ui-feedback reporter-feedback
12208,Add Quick Edit To Media Library list view,new,,,feature request,normal,Future Release,Quick/Bulk Edit,normal,,02/12/2010 01:45:12 AM,06/04/2019 09:05:35 PM,administration,queenofdiy,needs-patch bulk-reopened 2nd-opinion
12254,Move show_message() into WP_Error class and add support for various WP_Error features that are missing,assigned,,valendesigns,enhancement,normal,,General,normal,,02/16/2010 07:31:05 PM,06/04/2019 07:42:53 PM,,jeremyclarke,needs-patch
12257,wpdb Scales Badly Due to Unnecessary Copies of All Query Results,assigned,,,defect (bug),normal,,Database,critical,,02/17/2010 03:08:06 AM,06/04/2019 07:21:45 PM,,miqrogroove,dev-feedback has-patch
12267,Upgrade loop objects to provide identical presentational interfaces,reopened,,,enhancement,normal,,General,normal,,02/18/2010 12:19:24 AM,06/04/2019 07:42:54 PM,,andy,has-patch
12286,bug and fix when importing from Movable Type,new,,,defect (bug),normal,,Import,normal,,02/19/2010 01:26:59 PM,06/04/2019 08:01:57 PM,,leyburn888,needs-patch wporg-importer
12301,built up sitemap,reopened,,,feature request,normal,Awaiting Review,"Posts, Post Types",normal,,02/20/2010 09:49:19 AM,09/13/2018 03:49:27 PM,,omponk,2nd-opinion
12477,Search with special characters and similar terms,new,,nbachiyski,feature request,normal,,I18N,normal,,03/02/2010 05:42:46 PM,06/04/2019 08:01:58 PM,,mrroundhill,dev-feedback needs-patch
12567,make post_submit_meta_box more generic,new,,,enhancement,normal,,"Posts, Post Types",normal,,03/10/2010 12:46:20 AM,06/04/2019 08:41:05 PM,,themattharris,needs-patch editorial-flow
12702,Enable sticky post checkbox for custom post type Publish metabox,reopened,,,feature request,normal,,"Posts, Post Types",normal,,03/25/2010 05:27:30 AM,06/04/2019 08:41:08 PM,,phlux0r,dev-feedback has-patch 2nd-opinion close
12718,Better structure for admin menu,reopened,,,enhancement,normal,Future Release,Plugins,normal,,03/26/2010 01:05:37 AM,02/07/2018 09:17:16 AM,administration,scribu,has-patch dev-feedback
12779,Better support for custom post types in WP_Rewrite,assigned,,,enhancement,normal,,Rewrite Rules,normal,,03/30/2010 08:04:30 PM,06/04/2019 09:05:39 PM,,nacin,has-patch needs-refresh
12877,Modular themes: Apply template hierarchy to folders within a theme,new,,,feature request,normal,,Themes,normal,,04/06/2010 04:26:15 PM,06/04/2019 09:05:41 PM,,koopersmith,has-patch dev-feedback
12885,LiveJournal importer uses GMT date/time as local date/time,new,,,defect (bug),normal,,Import,normal,,04/07/2010 02:07:25 AM,06/04/2019 08:02:01 PM,,kurtmckee,has-patch needs-testing
12945,Constrain wp_page_menu(),accepted,,technosailor,defect (bug),normal,,Menus,normal,,04/09/2010 07:39:51 PM,06/04/2019 08:02:04 PM,,technosailor,has-patch dev-feedback
12955,Add get_post filter,new,,,feature request,normal,Future Release,"Posts, Post Types",normal,,04/10/2010 01:50:07 PM,08/28/2018 01:43:50 PM,,JohnLamansky,has-patch dev-feedback needs-refresh
13169,Return Dynamic Sidebars with get_dynamic_sidebar,reopened,,,enhancement,normal,Awaiting Review,Widgets,normal,,04/28/2010 06:07:28 PM,05/22/2019 07:19:20 AM,,w3prodigy,
13339,Add hook on network admin user forms,new,,,enhancement,normal,,Users,normal,,05/11/2010 11:45:37 AM,06/05/2019 06:37:25 AM,multisite,bueltge,
13473,comment_status should be set to default_comment_status when commentstatusdiv is removed,reopened,,westi,defect (bug),normal,,Comments,normal,,05/20/2010 11:36:24 PM,06/04/2019 07:21:51 PM,administration,jimmcq,needs-patch
13691,Make get_template_part() accept multiple template names,new,,,enhancement,normal,,Themes,normal,,06/02/2010 03:19:34 AM,06/04/2019 09:05:47 PM,template,wjm,needs-patch
13816,There should be built-in index pages for taxonomies,new,,,feature request,normal,Future Release,Taxonomy,normal,,06/10/2010 12:20:29 PM,06/07/2019 05:50:28 PM,template,frankieroberto,needs-patch dev-feedback
13821,Changing visibility to password-protected without entering a password does not warn user,accepted,,kapeels,defect (bug),normal,Future Release,Editor,normal,,06/10/2010 01:48:48 PM,06/05/2019 07:15:00 AM,"ui, administration",markel,has-patch
13874,"Add package argument to ""_deprecated_function"" function",assigned,,chriscct7,enhancement,normal,,Bootstrap/Load,normal,,06/13/2010 11:48:37 PM,06/04/2019 07:21:54 PM,,johnjamesjacoby,has-patch
14097,Idea for placeholder text,new,,,enhancement,normal,,Administration,normal,,06/26/2010 06:28:25 AM,06/04/2019 07:21:56 PM,ui,markjaquith,
14125,Seperate out non-editable options in edit site,accepted,,sorich87,enhancement,normal,,"Options, Meta APIs",normal,,06/28/2010 04:11:36 AM,06/04/2019 08:41:23 PM,"ui, multisite",wpmuguru,has-patch dev-feedback
14179,Theme asking to update (theme with same name on WordPress.org),new,,,defect (bug),normal,WordPress.org,Themes,normal,,07/03/2010 08:34:02 AM,03/22/2019 10:17:29 AM,,design_dolphin,
14201,"Canonical redirect kicks in in case of category/tag base containing other chars then a-z, 0-9, _ and -",new,,,defect (bug),normal,,Canonical,normal,,07/05/2010 09:03:39 AM,06/04/2019 07:21:57 PM,,nbachiyski,needs-patch close needs-testing
14393,Maintenance mode overkill. Please refine usage of it,new,,,enhancement,normal,Future Release,Upgrade/Install,normal,,07/22/2010 10:12:14 PM,03/18/2017 02:52:11 PM,,bike,needs-patch
14502,Enable /post-type/taxonomy/term/ permalinks,reopened,,,enhancement,normal,Future Release,Rewrite Rules,normal,,08/01/2010 10:57:29 PM,06/04/2019 01:51:29 PM,,scribu,
14561,wp-admin/edit.php tags of post are hard to compare,new,,,enhancement,normal,,"Posts, Post Types",normal,,08/08/2010 08:25:02 AM,06/04/2019 08:41:26 PM,,hakre,
14569,Assign plugins on a per-site-basis,new,,,feature request,normal,,Plugins,normal,,08/09/2010 09:35:55 AM,06/04/2019 08:41:27 PM,multisite,ChantalC,needs-patch
14781,Allow upload of PHP files as plugin,new,,,feature request,normal,Future Release,Upgrade/Install,normal,,09/04/2010 01:28:06 PM,08/25/2017 08:03:06 PM,administration,hakre,needs-refresh has-patch needs-unit-tests
14808,Add Editor Documentation Functions URL for theme-defined functions,assigned,,exthilion,enhancement,normal,,Themes,normal,,09/08/2010 12:57:20 AM,06/04/2019 09:05:55 PM,,GamajoTech,good-first-bug has-patch
14877,Ability to create exclusive custom taxonomies,accepted,,helen,feature request,normal,Future Release,Taxonomy,minor,,09/15/2010 02:08:25 PM,02/27/2018 12:34:22 PM,ui,benbalter,needs-patch
14955,Themes should support uninstall.php or uninstall hook,new,,,enhancement,normal,,Themes,normal,,09/23/2010 10:59:57 PM,06/04/2019 09:05:57 PM,,WraithKenny,has-patch dev-feedback
14986,Make WordPress roles/capabilities more secure (edit_users related),new,,,enhancement,normal,,Role/Capability,normal,,09/28/2010 08:39:03 PM,06/04/2019 09:05:59 PM,,Otto42,needs-patch
15134,WordPress should not try to remove theme's or plugin's directory recursively if the directory is a symlink,reopened,,dd32,defect (bug),normal,Awaiting Review,Upgrade/Install,major,,10/16/2010 11:46:29 AM,10/10/2017 01:35:30 PM,,vladimir_kolesnikov,has-patch
15384,wp-login.php refactor,assigned,,valendesigns,enhancement,normal,,Login and Registration,normal,,11/11/2010 12:40:35 PM,06/04/2019 08:02:22 PM,,nacin,dev-feedback needs-unit-tests has-patch
15448,wp_mail() sets Content-Type header twice for multipart emails,reviewing,,nacin,enhancement,normal,Future Release,Mail,normal,,11/17/2010 12:15:04 PM,05/21/2019 12:50:25 PM,,rmccue,gci has-patch westi-likes
15706,Allow wildcarded domains in multisite limited email domains,reviewing,,westi,enhancement,normal,,Login and Registration,normal,,12/06/2010 06:59:24 PM,06/04/2019 08:02:25 PM,multisite,djcp,needs-patch
15760,"LiveJournal Importer mishandles some <lj-cut> and <lj user=""""> expressions",assigned,,westi,defect (bug),normal,WordPress.org,Import,normal,,12/10/2010 04:45:17 AM,05/23/2017 03:16:47 PM,,designsimply,livejournal dev-feedback wporg-importer
15855,Dropdown isn't shown when doing a user 'removal',assigned,,jeremyfelt,defect (bug),normal,,Users,normal,,12/16/2010 11:38:12 PM,06/05/2019 06:37:41 AM,multisite,scribu,needs-patch
15861,Sorting users by post count,new,,,defect (bug),normal,,Users,normal,,12/17/2010 10:21:24 AM,06/05/2019 06:37:48 AM,administration,scribu,dev-feedback needs-refresh
15865,Make it easy to disable options / user settings,reopened,,,enhancement,normal,Awaiting Review,"Options, Meta APIs",normal,,12/17/2010 05:52:29 PM,03/25/2018 01:46:07 PM,administration,westi,needs-refresh needs-testing
15906,validate_plugin needs all_plugins filter,new,,,defect (bug),normal,,Plugins,normal,,12/20/2010 03:13:12 AM,06/04/2019 08:41:40 PM,,wpmuguru,has-patch
15924,Add 'media_default_link_type' option to parallel 'image_default_link_type',new,,,enhancement,normal,Future Release,Upload,normal,,12/20/2010 09:12:12 PM,05/15/2019 08:48:42 PM,,goldenapples,dev-feedback needs-patch
15953,"when category slug is changed, old uri also should redirect to new, as post uris do",new,,,feature request,normal,Future Release,Permalinks,normal,,12/22/2010 06:51:10 PM,01/09/2019 12:12:59 AM,,qdinar,has-patch dev-feedback needs-testing has-unit-tests
16020,Upload custom avatar for user in Dashboard,reviewing,,nacin,feature request,normal,Future Release,Users,minor,,12/29/2010 08:07:53 AM,05/23/2019 06:53:33 PM,,computerwiz908,has-patch 2nd-opinion needs-refresh needs-design-feedback
16101,Numeric term fields are strings,new,,,defect (bug),normal,,Taxonomy,normal,,01/04/2011 11:25:00 PM,06/04/2019 09:06:16 PM,,foofy,needs-patch needs-unit-tests
16156,update-core is oblivious to api.wp.org being unreachable,new,,,defect (bug),normal,,Upgrade/Install,normal,,01/08/2011 09:51:38 AM,06/04/2019 09:06:19 PM,administration,nacin,needs-testing dev-feedback needs-refresh
16191,Uploaded files with quote marks in the filename are undisplayable in MS,reopened,,,defect (bug),normal,Future Release,Upload,normal,,01/11/2011 07:28:49 PM,05/15/2019 09:01:05 PM,,simonwheatley,has-patch dev-feedback needs-testing good-first-bug
16216,Hide core updater if running an svn checkout,new,,,enhancement,normal,,Upgrade/Install,normal,,01/13/2011 07:26:33 AM,06/04/2019 09:06:21 PM,ui,johnjamesjacoby,has-patch needs-refresh
16252,Allow comment reparenting to fix poor threading,new,,,feature request,normal,Future Release,Comments,normal,,01/15/2011 11:12:25 PM,06/13/2019 01:39:57 AM,,Otto42,has-patch needs-testing needs-refresh needs-design-feedback
16293,"In multisite installs, users with id 1 can't be deleted",reopened,,,defect (bug),normal,Future Release,Users,normal,,01/19/2011 12:21:34 AM,01/19/2017 10:57:12 PM,multisite,PeteMall,has-patch needs-refresh
16294,Remote WXR Import,reviewing,,duck_,enhancement,normal,,Import,normal,,01/19/2011 01:02:00 AM,06/04/2019 08:02:30 PM,,belaraka,needs-refresh has-patch
16612,WordPress should return nocache headers for requests with comment cookies,new,,,enhancement,normal,,Comments,normal,,02/21/2011 10:45:21 PM,06/04/2019 07:22:17 PM,,barry,has-patch needs-testing 2nd-opinion
16817,All updates have been completed,new,,,defect (bug),normal,,Upgrade/Install,normal,,03/10/2011 09:41:22 AM,06/04/2019 09:06:32 PM,,pavelevap,has-patch needs-refresh shiny-updates
16828,Add filter on initial_meta_boxes for nav menu,new,,,enhancement,normal,Future Release,Menus,normal,,03/10/2011 09:08:40 PM,01/08/2019 09:59:53 AM,ui,aaroncampbell,has-patch has-screenshots ui-feedback
16910,Lazy evaluation for WP_Query,new,,,feature request,normal,,Query,normal,,03/21/2011 01:04:39 AM,06/04/2019 08:41:58 PM,,scribu,needs-patch
17025,wp_list_authors() is not filterable,new,,,enhancement,normal,Future Release,Query,normal,,04/02/2011 05:30:10 PM,01/08/2019 09:59:07 AM,,kevinB,has-patch dev-feedback needs-refresh
17185,Optimize verbose attachment rules,reopened,,,enhancement,normal,,Rewrite Rules,normal,,04/20/2011 12:18:21 AM,06/04/2019 09:06:38 PM,performance,duck_,needs-patch dev-feedback needs-unit-tests
17246,Handling of HTTP 404 errors for non-existing files,reopened,,,enhancement,normal,Awaiting Review,Bootstrap/Load,normal,,04/26/2011 06:50:15 PM,03/27/2019 11:34:45 AM,performance,azaozz,needs-patch
17247,Crop tool is automatically selected when editing an image,new,,,enhancement,normal,Future Release,Media,normal,,04/27/2011 12:17:31 AM,06/22/2017 06:16:11 PM,"ui, javascript",andrewspittle,needs-patch
17268,Use native gettext library when available,new,,,enhancement,normal,Future Release,I18N,normal,,04/28/2011 11:32:30 AM,04/04/2019 10:59:05 AM,performance,linushoppe,early has-patch needs-refresh needs-unit-tests
17301,Keep the connection open when doing upgrades or long-running operations,assigned,,dd32,enhancement,normal,,Upgrade/Install,normal,,05/02/2011 06:27:39 AM,06/04/2019 09:06:58 PM,,markjaquith,has-patch needs-testing needs-refresh
17376,Multisite Subfolders and bunk /wp-admin areas,new,,,defect (bug),normal,,Bootstrap/Load,normal,,05/11/2011 03:07:38 PM,06/04/2019 07:22:25 PM,multisite,MadtownLems,needs-unit-tests has-patch
17451,Unify plugin update notices and include changelog data,accepted,,nacin,enhancement,normal,,Upgrade/Install,normal,,05/16/2011 09:23:25 AM,06/04/2019 09:07:00 PM,,dempsey,needs-patch dev-feedback needs-nacin
17520,cite element used incorrectly,new,,,enhancement,normal,,Administration,normal,,05/20/2011 05:47:14 PM,06/04/2019 07:22:28 PM,,holizz,has-patch needs-refresh
17619,Soft 404 at /wp-content/plugins/,new,,,enhancement,normal,,General,normal,,05/30/2011 04:31:30 PM,06/04/2019 07:43:30 PM,,miqrogroove,has-patch
17704,Automatically enqueue necessary scripts when custom meta boxes are used,new,,,enhancement,normal,,Administration,normal,,06/06/2011 05:53:43 AM,06/04/2019 07:22:32 PM,,mitchoyoshitaka,needs-refresh
17913,Site-level comment options may override individual post settings. Improve help/docs.,new,,,enhancement,normal,Awaiting Review,Comments,normal,,06/27/2011 08:46:43 PM,06/18/2018 04:55:21 PM,ui,niallkennedy,has-patch has-ux-feedback needs-refresh
18097,Themes update-check should check parent/child,reopened,,,defect (bug),normal,,WordPress.org site,normal,,07/13/2011 10:19:33 AM,06/05/2019 06:38:15 AM,,nacin,needs-patch
18146,Add user-level & front end timezone display flexibility according to a fixed time [GMT:0],assigned,,swissspidy,feature request,normal,Future Release,Date/Time,normal,,07/17/2011 06:25:21 AM,03/19/2019 03:58:33 AM,,RanYanivHartstein,needs-patch
18163,"Include more usermeta fields in the Network Admin's ""Add User"" view",new,,,feature request,normal,Future Release,Networks and Sites,normal,,07/18/2011 07:17:51 PM,04/30/2019 10:05:02 PM,"ui, administration, multisite",danielbachhuber,has-patch
18264,Future private posts listed as already published with future date specified,new,,,defect (bug),normal,Awaiting Review,"Posts, Post Types",normal,,07/27/2011 12:05:27 AM,05/23/2019 07:33:38 PM,"ui, administration",chrisrudzki,needs-patch editorial-flow
18289,Direct link to plugin installation should have admin chrome,reviewing,,nacin,task (blessed),normal,,Upgrade/Install,normal,,07/29/2011 06:02:19 AM,06/04/2019 09:07:03 PM,,nacin,has-patch needs-testing needs-refresh
18400,"Suggested label change for ""Stick this post to the front page""",new,,,enhancement,normal,Future Release,Text Changes,normal,,08/14/2011 01:19:53 AM,12/26/2017 07:48:09 PM,administration,designsimply,has-patch 2nd-opinion
18613,get_adjacent_post() doesn't find private posts,new,,,enhancement,normal,,"Posts, Post Types",normal,,09/07/2011 03:52:25 PM,06/04/2019 08:42:17 PM,,scribu,needs-refresh has-patch
18769,Admin should not break if URL changes,new,,,enhancement,normal,Awaiting Review,Administration,normal,,09/24/2011 10:58:42 PM,07/25/2018 07:26:45 PM,,AmbushCommander,needs-patch
18777,Add new site valid domain filter,new,,,enhancement,normal,,Networks and Sites,normal,,09/26/2011 11:41:32 AM,06/04/2019 08:02:55 PM,"multisite, administration",TJNowell,needs-patch
18816,Add 'offset' parameter and 'ancestral' boolean to wp_nav_menu,new,,,enhancement,normal,,Menus,normal,,09/29/2011 04:13:42 PM,06/04/2019 08:02:57 PM,,signyourbikeout,dev-feedback needs-patch
18833,Pass raw data into save_post/wp_insert_post,new,,rmccue,enhancement,normal,,"Posts, Post Types",normal,,10/01/2011 09:15:14 AM,06/04/2019 08:42:21 PM,administration,rmccue,has-patch needs-refresh
18836,ORDER BY RAND() is slow,new,,,enhancement,normal,,Query,minor,,10/01/2011 04:59:04 PM,06/04/2019 08:42:23 PM,performance,scribu,needs-unit-tests has-patch needs-testing
18877,DRY up rewrite rule matching,assigned,,ericlewis,enhancement,normal,,Rewrite Rules,normal,,10/06/2011 10:24:34 PM,06/04/2019 09:07:11 PM,performance,scribu,has-patch has-unit-tests needs-refresh
18954,Automatically whitelist screen options added via add_screen_option(),new,,,enhancement,normal,,Plugins,normal,,10/14/2011 10:54:08 PM,06/04/2019 08:42:29 PM,administration,mdawaffe,has-patch
19100,Introduce esc_color(),new,,,enhancement,normal,Future Release,Formatting,normal,,11/01/2011 12:16:14 PM,02/06/2017 11:24:13 PM,,mfields,has-patch dev-feedback
19272,Add Filter to Nav Menu Support Themes Text,assigned,,bhargavbhandari90,enhancement,normal,Future Release,Menus,trivial,,11/16/2011 10:47:52 PM,03/27/2019 08:29:01 PM,,wpsmith,good-first-bug has-patch needs-docs dev-feedback needs-refresh
19278,Allow WP_List_Table ::get_bulk_items() to receive a nested array and output optgroups,new,,,enhancement,normal,Awaiting Review,Administration,normal,,11/17/2011 05:25:37 PM,03/30/2018 12:57:11 AM,,goldenapples,has-patch dev-feedback needs-testing
19514,Add per-page filter for nav menu post type meta box,new,,,enhancement,normal,,Menus,normal,,12/12/2011 03:40:53 PM,06/04/2019 08:03:04 PM,,wpsmith,has-patch
19556,Make wp_term_checklist() available as a template tag,new,,,enhancement,normal,Future Release,Taxonomy,normal,,12/14/2011 10:58:07 PM,06/26/2017 06:14:20 PM,template,scribu,has-patch needs-refresh
19627,Themes should be able to opt-in to a static front page,assigned,,,feature request,normal,,Themes,normal,,12/21/2011 01:42:05 AM,06/04/2019 09:07:22 PM,,nacin,
19653,Order by meta field forces ignore of null records,new,,,enhancement,normal,Future Release,Query,normal,,12/23/2011 03:11:45 PM,03/29/2019 06:34:21 PM,,tomauger,has-patch needs-unit-tests meta-query needs-refresh
19707,admin-ajax.php requests via http regardless of force_ssl_admin() state,reopened,,,enhancement,normal,Awaiting Review,Administration,normal,,01/01/2012 12:53:52 AM,03/06/2018 01:31:02 PM,,robertaccettura,
19711,Posts edit list window display no information about filtering,assigned,,chriscct7,enhancement,normal,,"Posts, Post Types",normal,,01/02/2012 04:39:30 PM,06/04/2019 08:42:39 PM,"ui, administration",yoavf,has-patch has-ui-feedback
19742,WP_Styles should pass more info to the filter,new,,,enhancement,normal,Awaiting Review,Script Loader,normal,,01/04/2012 09:49:30 PM,02/05/2017 02:20:26 PM,,ptahdunbar,has-patch needs-refresh close
19834,More Robust Capabilities for Attachments,new,,,feature request,normal,Awaiting Review,Media,normal,,01/15/2012 12:43:40 AM,05/16/2019 11:11:06 AM,,walkinonwat3r,
19859,"""Bulk Edit"" Missing The Ability To Edit Tags",accepted,,gavinwye,enhancement,normal,Awaiting Review,Quick/Bulk Edit,normal,,01/20/2012 02:56:24 AM,05/23/2019 07:36:57 PM,,ademos,needs-patch needs-design
19949,Make update_post_thumbnail_cache() work for any instance,new,,,enhancement,normal,,Post Thumbnails,normal,,02/02/2012 10:40:03 PM,06/04/2019 08:42:43 PM,performance,scribu,dev-feedback reporter-feedback needs-patch
19954,wp_insert_post overwrites categories when updating existing post,reviewing,,joehoyle,defect (bug),normal,,"Posts, Post Types",normal,,02/03/2012 02:58:14 PM,06/04/2019 08:42:45 PM,,markoheijnen,has-patch has-unit-tests
19979,Load jQuery on the front end for logged-in users,assigned,,morganestes,enhancement,normal,Future Release,Toolbar,normal,,02/06/2012 10:43:32 PM,02/04/2017 12:33:13 PM,javascript,azaozz,needs-patch
20009,Escape later when getting post and body classes,reopened,,,defect (bug),normal,Awaiting Review,Themes,normal,,02/10/2012 08:11:37 AM,01/29/2017 10:03:38 AM,,mfields,has-patch needs-testing
